Avikam, 2
Avokaya, 2
Avá-Canoeiro, 1
Awa (New Guinea), 1
Awa-Cuaiquer, 3
Awabakal, 9
Awadhi, 81
Awar, 3
Awara, 1
Awera, 1
Awetí, 3
Awngi, 1
Awtuw, 3
Awyi, 1
Axamb, 1
Axi Yi, 1
Ayabadhu, 2
Ayere, 3
Aymara, 59
Aynu, 4
Ayomán, 2
Ayoquesco Zapotec, 1
Ayoreo, 2
Ayu, 1
Ayutla Mixtec, 1
Azerbaijani, 5286
Azha, 1
Azoyú Me'phaa, 1
Baagandji, 4
Baan, 1
Baba Malay, 2
Babanki, 2
Babatana, 2
Babine-Witsuwit'en, 4
Babole, 2
Babungo, 1
Babuza, 3
Bactrian, 29
Badaga, 2
Bade, 1
Badui, 3
Baenan, 9
Bafanji, 1
Bafut, 1
Bagheli, 7
Bagirmi, 1
Bagua, 1
Bagupi, 1
Bagusa, 2
Bagvalal, 2
Baha, 1
Baham, 1
Baharna Arabic, 2
Bahau, 1
Bahinemo, 1
Bahing, 1
Bahnar, 94
Baimak, 1
Baiso, 1
Baka, 2
Bakairí, 1
Bakhtiari, 4
Baki, 1
Bakoko, 1
Bakulung, 1
Bakumpai, 1
Bakung, 24
Balaesang, 2
Balangao, 1
Balanta-Ganja, 1
Balanta-Kentohe, 1
Balantak, 1
Baldemu, 3
Baliledo, 1
Balinese, 411
Balkan Romani, 46
Balo, 1
Balti, 5
Baltic Romani, 19
Baluan-Pam, 1
Baluchi, 525
Bambam, 1
Bambara, 184
Bamu, 12
Bamwe, 1
Bana, 1
Banam Bay, 2
Banda, 2
Banda-Bambari, 1
Bandi, 1
Bandjalang, 57
Bangandu, 1
Banggai, 8
Bangi, 1
Bangi Me, 1
Baniwa, 2
Banjarese, 66
Banka, 1
Bankan Tey Dogon, 1
Bankon, 2
Banoni, 5
Bantawa, 3
Bantayanon, 6
Bantik, 2
Banyumasan, 10
Baoule, 7
Barai, 2
Baram Kayan, 5
Barapasi, 1
Barasana, 8
Barbareño, 1
Bardi, 4
Bargam, 5
Bari, 4
Bariai, 21
Bariji, 2
Barikewa, 1
Barngarla, 1
Barok, 1
Barombi, 2
Barranbinya, 1
Baruga, 4
Barunggam, 10
Baruya, 8
Baré, 2
Barí, 1
Basa, 1
Basaa, 1
Basap, 1
Basay, 4
Bashkir, 3456
Basketo, 1
Basque, 2177
Bassa, 59
Batad Ifugao, 3
Batanga, 1
Bathari, 1
Bats, 23
Batu, 2
Batui, 2
Batuley, 2
Bau, 3
Bau Bidayuh, 82
Baure, 19
Bauro, 3
Bauzi, 1
Bavarian, 249
Baybayanon, 2
Bayogoula, 1
Bayungu, 1
Beaver, 1
Bebe, 1
Bedjond, 1
Beezen, 1
Beja, 3
Bekati', 1
Belait, 4
Belarusian, 2928
Beli, 1
Belizean Creole, 2
Bella Coola, 47
Bellari, 2
Bemba, 12
Ben Tey, 1
Benabena, 1
Bende, 5
Beneraf, 1
Beng, 1
Bengali, 2867
Beothuk, 2
Bepour, 3
Berawan, 12
Berbice Creole Dutch, 13
Berik, 1
Berom, 2
Berti, 1
Betawi, 37
Betoi, 7
Bezhta, 1
Bhilali, 1
Bhojpuri, 275
Biak, 4
Biangai, 1
Biao, 234
Biao Mon, 1
Bibaali, 1
Bidiyo, 1
Bidyara, 1
Biem, 2
Big Nambas, 2
Bih, 2
Bihari, 2
Bikol Central, 708
Bilakura, 2
Bilba, 5
Bilbil, 2
Biliau, 2
Biloxi, 2
Bilua, 2
Bilur, 2
Bima, 4
Bimin, 1
Bimoba, 1
Binandere, 1
Binongan Itneg, 1
Bintulu, 18
Binukid, 51
Bipi, 1
Birao, 1
Birgid, 3
Birgit, 1
Biritai, 1
Bishnupriya Manipuri, 49
Bislama, 63
Bissa, 1
Bisu, 1
Bitare, 1
Blablanga, 1
Black Speech, 1
Blackfoot, 27
Blagar, 58
Blang, 1
Blin, 1
Bo-Rukul, 1
Boano (Maluku), 1
Boano (Sulawesi), 1
Bobongko, 1
Bobot, 1
Bodo (India), 74
Bodo Gadaba, 1
Bofi, 1
Bogaya, 3
Boghom, 2
Bokar, 1
Boko, 1
Bokobaru, 1
Bokoto, 1
Bokyi, 1
Bola, 15
Bolak, 50
Bolango, 1
Bole, 2
Bolinao, 47
Boloki, 1
Bolongan, 1
Bolyu, 1
Bonan, 2
Bondei, 2
Bondo, 1
Bonerate, 1
Bonggi, 4
Bonggo, 4
Bongo, 1
Bookan, 1
Bora, 1
Borong, 1
Borôro, 31
Boselewa, 1
Botlikh, 2
Botolan Sambal, 4
Bourbonnais-Berrichon, 3
Bourguignon, 617
Bouyei, 97
Bragat, 1
Brahui, 15
Braj, 102
Brazilian Sign Language, 1
Brem, 2
Breton, 1467
Bribri, 1
Brokpake, 1
Brokskat, 7
Brooke's Point Palawano, 172
Broome Pearling Lugger Pidgin, 17
Brunei Bisaya, 3
Brunei Malay, 461
Bu, 2
Bu-Nao Bunu, 7
Bube, 2
Bubi, 1
Budibud, 2
Budukh, 25
Buduma, 1
Budza, 1
Buena Vista Yokuts, 2
Bugan, 2
Bughotu, 10
Buginese, 71
Bugun, 1
Buhi'non Bikol, 1
Buhid, 21
Buhutu, 2
Bukat, 2
Bukawa, 2
Bukhari, 4
Bukiyip, 35
Bukusu, 1
Bulgarian, 6620
Buli (Ghana), 2
Buli (Indonesia), 4
Bulu (Cameroon), 3
Bulu (New Guinea), 2
Bunaba, 1
Bunak, 1
Bunama, 2
Bundeli, 9
Bungku, 1
Bungu, 1
Bunoge, 1
Bunun, 31
Buol, 3
Bura, 42
Bura Mabang, 4
Burarra, 6
Burduna, 1
Burgundian, 3
Burji, 1
Burmese, 5463
Burmeso, 1
Buru (Indonesia), 1
Burun, 2
Burushaski, 76
Burusu, 1
Buruwai, 1
Buryat, 116
Busa, 2
Busam, 1
Busami, 1
Busang Kayan, 1
Butmas-Tur, 1
Butuanon, 4
Buwal, 1
Bwaidoka, 2
Bwanabwana, 3
Bwatoo, 7
Byangsi, 1
Caac, 4
Cabiyarí, 1
Cacua, 1
Cacán, 2
Caddo, 1
Cahuilla, 500
Cajonos Zapotec, 1
Caka, 2
Calamian Tagbanwa, 2
Calusa, 4
Caluyanun, 1
Caló, 81
Camarines Norte Agta, 3
Camsá, 1
Candoshi-Shapra, 1
Canela, 2
Canichana, 1
Cantonese, 4789
Capiznon, 4
Cappadocian Greek, 27
Car Nicobarese, 4
Cara, 1
Carabayo, 2
Caranqui, 9
Carapana, 2
Carian, 51
Cariay, 1
Caribbean Hindustani, 15
Carijona, 2
Carolinian, 18
Carpathian Romani, 22
Carpathian Romani‎, 17
Carrier, 176
Cashibo-Cacataibo, 1
Cashinahua, 1
Casiguran Dumagat Agta, 10
Catacao, 2
Catalan, 21936
Catawba, 20
Catuquinaru, 2
Catío Chibcha, 1
Cavere, 2
Cavineña, 2
Cayubaba, 1
Cayuga, 3
Cazcan, 2
Cebuano, 20259
Celtiberian, 5
Cemuhî, 6
Central Asmat, 1
Central Atlas Tamazight, 146
Central Bai, 2
Central Bontoc, 11
Central Cagayan Agta, 29
Central Dusun, 7
Central Franconian, 539
Central Huasteca Nahuatl, 121
Central Kurdish, 339
Central Mahuatlán Zapoteco, 1
Central Malay, 8
Central Masela, 1
Central Mazahua, 14
Central Melanau, 80
Central Nahuatl, 45
Central Nicobarese, 1
Central Pomo, 3
Central Puebla Nahuatl, 1
Central Sama, 1
Central Siberian Yupik, 3
Central Sierra Miwok, 160
Central Subanen, 1
Central Tagbanwa, 9
Central Tarahumara, 48
Central Tunebo, 1
Ch'orti', 14
Chaap Wuurong, 5
Chachi, 6
Chadong, 1
Chagatai, 44
Chaha, 1
Chaima, 1
Chairel, 2
Chakma, 65
Chali, 1
Chamacoco, 4
Chamalal, 2
Chamba Daka, 2
Chambri, 1
Chamicuro, 466
Chamling, 2
Chamorro, 137
Champenois, 7
Chang, 1
Chapacura, 4
Charrua, 7
Chaudangsi, 1
Chaura, 1
Chavacano, 185
Chayahuita, 2
Chechen, 367
Cheke Holo, 2
Chepang, 6
Cherokee, 788
Chewong, 2
Cheyenne, 31
Chibcha, 1
Chicahuaxtla Triqui, 12
Chichewa, 800
Chichicapan Zapotec, 2
Chickasaw, 501
Chilcotin, 2
Chimalapa Zoque, 1
Chimila, 1
Chimwiini, 2
Chinali, 1
Chinese, 159287
Chinese Pidgin English, 1
Chinook, 1
Chinook Jargon, 102
Chipaya, 13
Chipewyan, 25
Chiquihuitlán Mazatec, 2
Chiquimulilla, 3
Chiquitano, 10
Chiricahua, 8
Chirino, 2
Chitimacha, 3
Chittagonian, 6
Chiwere, 2
Choapan Zapotec, 1
Chocangaca, 5
Choctaw, 666
Chol, 18
Chong, 71
Chono, 2
Chopi, 1
Chrau, 3
Chru, 3
Chuanqiandian Cluster Miao, 2
Chuave, 2
Chuj, 6
Chuka, 1
Chukchi, 47
Churuya, 3
Chuukese, 968
Chuvash, 273
Chácobo, 1
Cia-Cia, 61
Cibak, 1
Cicipu, 1
Ciguayo, 1
Cimbrian, 1512
Cinta Larga, 1
Classical Mandaic, 1
Classical Mongolian, 12
Classical Nahuatl, 2198
Classical Newar, 1
Classical Syriac, 7273
Coast Miwok, 29
Coastal Kadazan, 7
Coastal Konjo, 1
Coatecas Altas Zapotec, 1
Coatlán Mixe, 19
Coatlán Zapotec, 1
Coatzospan Mixtec, 1
Cocama, 2
Cochimi, 1
Cocopa, 6
Coeur d'Alene, 3
Cofán, 2
Cogui, 3
Columbia-Wenatchi, 38
Colán, 2
Comanche, 78
Comechingon, 2
Comox, 11
Coos, 2
Copainalá Zoque, 8
Copallén, 3
Coptic, 1358
Cora, 43
Cornish, 1253
Coroado Puri, 3
Corsican, 210
Cosoleacaque Nahuatl, 4
Cowlitz, 6
Cree, 47
Creek, 15
Crimean Gothic, 92
Crimean Tatar, 2546
Cross River Mbembe, 1
Crow, 76
Cruzeño, 1
Cua, 1
Cubeo, 1
Cuiba, 13
Cuitlatec, 1
Culina, 2
Culli, 2
Cumanagoto, 1
Cun, 1
Cung, 1
Cupeño, 18
Curripaco, 21
Cuvok, 2
Cuyunon, 73
Cypriot Arabic, 5
Czech, 34769
Da'a Kaili, 1
Daai Chin, 1
Daasanach, 2
Daba, 4
Dacian, 40
Dadanitic, 2
Dadibi, 3
Daga, 1
Dagbani, 3
Dahalo, 4
Dai, 1
Dairi Batak, 9
Dakaka, 1
Dakota, 460
Dakpa, 1
Dalmatian, 1167
Dan, 1
Danaru, 2
Dangaléat, 1
Danish, 18523
Dano, 1
Dargwa, 35
Darkinjung, 90
Darmiya, 1
Daro-Matu Melanau, 1
Dass, 1
Datooga, 2
Daur, 28
Dawawa, 2
Dawera-Daweloor, 1
Dawro, 1
Day, 1
Dazaga, 1
Deccani, 2
Defaka, 1
Deg, 1
Deg Xinag, 2
Degema, 2
Degenan, 1
Delta Yokuts, 1
Demisa, 1
Demotic, 26
Demta, 1
Dena'ina, 33
Denya, 2
Dení, 10
Desano, 1
Dhalandji, 1
Dhangu, 8
Dharug, 24
Dhimal, 1
Dhivehi, 171
Dhudhuroa, 12
Dhuwal, 17
Dia, 1
Dibabawon Manobo, 205
Dibiyaso, 6
Dibo, 1
Dieri, 8
Digo, 1
Dilling, 1
Dimasa, 11
Dime, 4
Dinapigue Agta, 1
Dineor, 1
Dinka, 48
Diodio, 2
Ditidaht, 19
Diuxi-Tilantongo Mixtec, 1
Dixon Reef, 1
Dizin, 1
Djambarrpuyngu, 5
Dobel, 1
Dobu, 3
Doe, 1
Doga, 1
Dogri, 35
Dogrib, 33
Dogul Dom, 1
Dolgan, 68
Domari, 17
Dompo, 1
Dongolawi, 2
Dongshanba Lalo, 1
Dongxiang, 164
Dorasque, 1
Dori'o, 2
Dorig, 2
Dorze, 2
Doteli, 74
Doura, 1
Doutai, 3
Drehu, 78
Drung, 4
Duala, 1
Duau, 2
Dubu, 1
Duhwa, 1
Duit, 1
Dukhan, 1
Duma, 1
Dumbea, 38
Dumi, 5
Dumpas, 1
Duna, 1
Dungan, 145
Dupaningan Agta, 724
Dura, 11
Duri, 1
Duriankere, 1
Dusner, 3
Dutch, 49436
Dutch Low Saxon, 113
Duun, 4
Duvle, 2
Duwet, 2
Dyaabugay, 3
Dyirbal, 5
Dyula, 1
Dzala, 1
Dzao Min, 1
Dzongkha, 297
Dzuun, 1
Dâw, 5
E'ma Buyang, 1
East Central German, 46
East Damar, 1
East Franconian, 6
East Futuna, 9
East Makian, 2
East Masela, 1
East Yugur, 9
Eastern Acipa, 2
Eastern Arrernte, 210
Eastern Bontoc, 4
Eastern Cham, 20
Eastern Durango Nahuatl, 1
Eastern Huasteca Nahuatl, 563
Eastern Keres, 1
Eastern Lawa, 2
Eastern Magar, 1
Eastern Mari, 101
Eastern Mnong, 4
Eastern Ngad'a, 1
Eastern Penan, 1
Eastern Pomo, 1
Eastern Pwo, 22
Eastern Tamang, 5
Eblaite, 10
Ebrié, 1
Ebughu, 2
Edo, 10
Edomite, 4
Edopi, 2
Efai, 2
Efik, 3
Efutop, 1
Ega, 5
Eggon, 1
Egyptian, 4767
Egyptian Arabic, 433
Eipomek, 1
Ejagham, 3
Ekajuk, 1
Ekari, 1
Ekit, 2
Ekpeye, 1
Elamite, 6
Eleme, 1
Elfdalian, 253
Elkei, 2
Elotepec Zapotec, 1
Eloyi, 1
Emae, 1
Eman, 1
Embaloh, 2
Emberá-Catío, 1
Emberá-Chamí, 1
Emberá-Tadó, 1
Embu, 1
Emerillon, 2
Emilian, 728
En, 1
Ende, 1
Enga, 2
Engenni, 1
Enggano, 1
English, 713314
Enlhet, 1
Enwang, 2
Enxet, 1
Eotile, 1
Epena, 1
Epie, 2
Epigraphic Mayan, 3
Eritai, 3
Erromintxela, 3
Ersu, 2
Erzya, 771
Esan, 3
Ese, 247
Ese Ejja, 2
Eshtehardi, 5
Esimbi, 2
Esmeralda, 8
Esperanto, 18111
Esselen, 1
Estado de México Otomi, 2
Estonian, 6849
Etebi, 1
Eten, 1
Eteocretan, 1
Eton (Cameroon), 16
Etruscan, 28
Etulo, 3
Evant, 1
Even, 36
Evenki, 217
Ewe, 691
Ewondo, 1
Extremaduran, 108
Eyak, 2
Fagani, 1
Fakkanci, 7
Fala, 63
Faliscan, 74
Fanamaket, 1
Fang (Cameroon), 1
Fang (Guinea), 4
Farefare, 20
Faroese, 7548
Fas, 1
Fasu, 4
Fataluku, 1
Fayu, 2
Fe'fe', 1
Fembe, 1
Fiji Hindi, 158
Fijian, 412
Finnish, 119570
Fipa, 1
Flinders Island, 1
Foi, 4
Folopa, 5
Fon, 6
Forak, 2
Fore, 1
Forest Enets, 12
Fox, 8
Franc-Comtois, 11
Francisco León Zoque, 46
Franco-Provençal, 242
Frankish, 232
French, 87246
Friulian, 2055
Fula, 218
Fulniô, 12
Fungwa, 1
Fur, 2
Futuna-Aniwa, 8
Fuyug, 7
Fwâi, 1
Fyam, 1
Fyer, 1
Ga, 17
Ga'anda, 2
Ga'dang, 1
Gaam, 1
Gabadi, 2
Gabi, 2
Gabrielino-Fernandeño, 16
Gaddang, 1
Gadsup, 2
Gagadu, 4
Gagauz, 90
Gaikundi, 4
Gal, 1
Galela, 1
Galibi Carib, 21
Galice, 1
Galician, 16879
Gallo, 175
Gallurese, 2
Galoli, 1
Gamilaraay, 707
Gamo, 2
Gana, 1
Gandhari, 24
Ganglau, 1
Gapapaiwa, 1
Garawa, 34
Garhwali, 33
Garifuna, 96
Garo, 1
Garus, 1
Gashowu, 1
Gaulish, 102
Gavak, 2
Gavar, 1
Gavião do Jiparaná, 2
Gawwada, 1
Gayil, 2
Gayo, 7
Gayón, 1
Gbagyi, 2
Gban, 1
Gbanu, 1
Gbanziri, 1
Gbari, 2
Gbaya-Bossangoa, 1
Gbaya-Bozoum, 1
Gbayi, 1
Gbiri-Niragu, 1
Gciriku, 1
Ge'ez, 59
Gedaged, 3
Geji, 1
Gela, 4
Gele', 1
Gen, 1
Gende, 1
Georgian, 15121
Gerka, 1
German, 73521
German Low German, 901
German Sign Language, 18
Geser-Gorom, 1
Ghadames, 1
Ghari, 1
Ghayavi, 2
Ghomala', 1
Ghotuo, 12
Gidar, 2
Gilaki, 1
Gilbertese, 36
Girawa, 6
Gitua, 1
Gitxsan, 1
Glavda, 2
Glosa, 6
Gobasi, 4
Godoberi, 2
Goemai, 7
Gofa, 31
Gokana, 1
Gokhy, 1
Gola, 1
Golin, 5
Gondi, 1
Gong, 92
Gonja, 2
Gooniyandi, 68
Gor, 2
Gorontalo, 29
Gothic, 2699
Gottscheerish, 20
Grass Koiari, 4
Greek, 28769
Green Hmong, 1
Greenlandic, 1727
Greenlandic Pidgin, 1
Gresi, 1
Gros Ventre, 3
Guahibo, 1
Guajajára, 7
Guajá, 1
Guambiano, 2
Guanano, 5
Guanche, 1
Guaraní, 153
Guayabero, 1
Guazacapán, 2
Gude, 1
Guerrero Amuzgo, 30
Guerrero Nahuatl, 8
Guevea de Humboldt Zapotec, 1
Gugu Badhun, 1
Guhu-Samane, 3
Guianese Creole, 5
Guinau, 1
Guinea-Bissau Creole, 396
Guiqiong, 1
Gujarati, 4081
Gulay, 6
Gulf Arabic, 456
Gullah, 30
Gumalu, 1
Gumatj, 2
Gumawana, 1
Gun, 1
Gunu, 1
Gunwinggu, 73
Gunya, 1
Gupa-Abawa, 1
Gupapuyngu, 1
Gurani, 2
Gurindji, 4
Gurjar Apabhramsa, 6
Guro, 1
Guruntum, 1
Gusii, 2
Gutnish, 53
Guugu Yimidhirr, 139
Guwar, 2
Guyanese Creole English, 1
Guébie, 1
Gvoko, 1
Gwahatike, 1
Gwara, 1
Gweda, 1
Gweno, 1
Gwere, 1
Gwich'in, 3
Güenoa, 2
Hadza, 317
Haeke, 1
Hahon, 1
Haida, 27
Hainyaxo Bozo, 1
Haitian Creole, 1059
Haitian Vodoun Culture Language, 1
Hajong, 94
Hakö, 3
Halbi, 1
Halegannada, 24
Halia, 2
Halkomelem, 4
Hamer-Banna, 1
Hamtai, 4
Hanga Hundi, 10
Hanunoo, 10
Harari, 3
Haroi, 1
Harsusi, 3
Haruai, 3
Haryanvi, 2
Hasha, 1
Hassaniya, 2
Hatam, 1
Hattic, 2
Hausa, 1206
Haush, 1
Havasupai-Walapai-Yavapai, 11
Haveke, 1
Hawaiian, 2438
Hazaragi, 2
Hdi, 3
Hebrew, 12864
Hehe, 1
Heiltsuk, 1
Herdé, 1
Herero, 5
Heyo, 1
Hidatsa, 5
Highland Oaxaca Chontal, 1
Highland Popoluca, 157
Highland Puebla Nahuatl, 40
Highland Totonac, 3
Hijazi Arabic, 971
Hiligaynon, 1855
Himyaritic, 2
Hindi, 18123
Hinukh, 1
Hiri Motu, 44
Hismaic, 2
Hitchiti, 1
Hittite, 271
Hiw, 2
Hixkaryana, 5
Hlai, 20
Hlepho Phowa, 1
Hmwaveke, 2
Hoava, 2
Hobyót, 2
Holikachuk, 1
Hone, 3
Hopi, 184
Horom, 1
Horpa, 1
Hote, 2
Hoyahoya, 12
Hrangkhol, 1
Hre, 1
Hruso, 1
Hu, 1
Huambisa, 1
Huaorani, 9
Huave, 1
Huba, 1
Huehuetla Tepehua, 2
Huichol, 9
Hula, 1
Hulaulá, 1
Huli, 2
Hungarian, 31944
Hunsrik, 989
Hunzib, 3
Hupa, 3
Hupdë, 6
Hurrian, 4
Hutterisch, 10
Hyam, 1
Hän, 9
Iaai, 1
Iamalele, 2
Iatmul, 8
Iau, 4
Ibaloi, 67
Iban, 58
Ibanag, 31
Ibani, 1
Ibatan, 18
Iberian, 1
Ibibio, 6
